order_release_id,order_line_id,return_type,return_date,packet_id,customer_paid_amount,total_settlement,total_actual_settlement,amount_pending_settlement,prepaid_commission_deduction,prepaid_logistics_deduction,prepaid_payment,postpaid_commission_deduction,postpaid_logistics_deduction,postpaid_payment,return_id,upload_timestamp
8286568103,10286539244,return_refund,2025-01-23 08:19:18,9653348623,798.998,-723.811,-723.811,0.0,137.218,-66.5461,-751.0,8.771,-4.2539,-48.0,100010101927,2025-03-31 15:59:51.184547
8288113829,10288084996,exchange,2025-01-27 13:35:29,9653807191,698.996,-665.682,-665.682,0.0,0.0,0.0,0.0,127.718,-94.4,-699.0,100011586534,2025-03-31 15:59:51.184547
8315638823,10315610252,return_refund,2025-02-18 14:29:41,9662657521,599.004,-601.655,-601.655,0.0,0.0,0.0,0.0,109.445,-112.1,-599.0,100016356900,2025-03-31 15:59:51.184547
8288841253,10288812436,exchange,2025-01-23 11:52:20,9654104975,798.998,-747.411,-747.411,0.0,133.747,-86.48456,-732.0,12.242,-7.91544,-67.0,100010350524,2025-03-31 15:59:51.184547
8296719038,10296690309,exchange,2025-01-29 15:27:29,9656546978,599.004,-601.655,-601.655,0.0,0.0,0.0,0.0,109.445,-112.1,-599.0,100011931956,2025-03-31 15:59:51.184547
8314000586,10313971989,return_refund,2025-02-12 13:53:22,9662186759,799.008,-723.811,-723.811,0.0,145.989,-70.8,-799.0,0.0,0.0,0.0,100015250935,2025-03-31 15:59:51.184547
8303652605,10303623915,return_refund,2025-02-05 04:57:43,9658847214,599.004,-601.653,-601.653,0.0,101.407,-103.86596,-555.0,8.04,-8.23404,-44.0,100013512672,2025-03-31 15:59:51.184547
8296843708,10296814984,exchange,2025-01-29 14:29:42,9656643022,749.008,-671.147,-671.147,0.0,136.853,-59.0,-749.0,0.0,0.0,0.0,100011932332,2025-03-31 15:59:51.184547
8305682816,10305654137,return_refund,2025-02-09 16:26:49,9659533087,599.004,-601.655,-601.655,0.0,109.445,-112.1,-599.0,0.0,0.0,0.0,100014546410,2025-03-31 15:59:51.184547
8315327825,10315299247,exchange,2025-02-11 15:20:09,9662727265,799.008,-712.011,-712.011,0.0,138.863,-56.11962,-760.0,7.126,-2.88038,-39.0,100016531343,2025-03-31 15:59:51.184547
8289483832,10289455027,return_refund,2025-02-07 13:32:25,9654288780,599.004,-572.154,-572.154,0.0,3.704,-2.79542,-20.27,105.742,-79.80458,-578.73,100013959754,2025-03-31 15:59:51.184547
8307702143,10307673473,return_refund,2025-02-10 10:18:31,9660150891,949.001,-870.004,-870.004,0.0,0.0,0.0,0.0,173.396,-94.4,-949.0,100014694554,2025-03-31 15:59:51.184547
8288479935,10288451110,return_refund,2025-01-30 11:35:31,9653960592,599.004,-583.955,-583.955,0.0,0.0,0.0,0.0,109.445,-94.4,-599.0,100011818114,2025-03-31 15:59:51.184547
8308034569,10308005900,return_refund,2025-02-09 10:53:30,9660503351,798.998,-723.811,-723.811,0.0,56.708,-27.50108,-310.36,89.281,-43.29892,-488.64,100014473227,2025-03-31 15:59:51.184547
8303962357,10303933669,return_refund,2025-02-05 08:11:35,9659193450,599.004,-601.653,-601.653,0.0,93.002,-95.25668,-509.0,16.445,-16.84332,-90.0,100013625632,2025-03-31 15:59:51.184547
8290454069,10290425268,return_refund,2025-02-07 13:27:37,9654547248,798.998,-747.411,-747.411,0.0,132.103,-85.4202,-723.0,13.886,-8.9798,-76.0,100014120002,2025-03-31 15:59:51.184547
8318021207,10317992658,exchange,2025-02-13 13:29:17,9663436473,799.008,-712.011,-712.011,0.0,145.989,-59.0,-799.0,0.0,0.0,0.0,100015821328,2025-03-31 15:59:51.184547
8308571045,10308542398,return_refund,2025-02-09 12:41:36,9660403722,848.999,-776.475,-776.475,0.0,155.125,-82.6,-849.0,0.0,0.0,0.0,100014463023,2025-03-31 15:59:51.184547
8311869292,10311840681,return_refund,2025-02-10 11:49:59,9661462407,599.004,-572.153,-572.153,0.0,89.896,-67.84528,-492.0,19.551,-14.75472,-107.0,100014774327,2025-03-31 15:59:51.184547
8301110514,10301081819,exchange,2025-02-01 17:52:10,9658046159,798.998,-712.011,-712.011,0.0,145.989,-59.0,-799.0,0.0,0.0,0.0,100012874250,2025-03-31 15:59:51.184547
8288783180,10288754362,return_refund,2025-01-24 13:55:15,9654025984,949.001,-870.004,-870.004,0.0,152.932,-83.25844,-837.0,20.464,-11.14156,-112.0,100010493591,2025-03-31 15:59:51.184547
8285988031,10285959159,return_refund,2025-01-24 07:35:05,9653130738,798.998,-723.811,-723.811,0.0,145.989,-70.8,-799.0,0.0,0.0,0.0,100010350369,2025-03-31 15:59:51.184547
8295910904,10295882166,return_refund,2025-01-31 10:27:17,9656499033,599.004,-560.355,-560.355,0.0,0.0,0.0,0.0,109.445,-70.8,-599.0,100012188653,2025-03-31 15:59:51.184547
8315560326,10315531752,return_refund,2025-02-12 11:27:14,9662679613,599.004,-560.355,-560.355,0.0,109.445,-70.8,-599.0,0.0,0.0,0.0,100015242135,2025-03-31 15:59:51.184547
8305346788,10305318107,return_refund,2025-02-05 09:03:48,9659453988,899.01,-805.54,-805.54,0.0,164.26,-70.8,-899.0,0.0,0.0,0.0,100013568307,2025-03-31 15:59:51.184547
8317290392,10317261841,return_refund,2025-02-17 15:51:22,9663201687,798.998,-747.411,-747.411,0.0,139.96,-90.50128,-766.0,6.029,-3.89872,-33.0,100016503787,2025-03-31 15:59:51.184547
8317045643,10317017083,return_refund,2025-02-15 10:22:54,9663163068,798.998,-723.811,-723.811,0.0,0.0,0.0,0.0,145.989,-70.8,-799.0,100016057495,2025-03-31 15:59:51.184547
8308998849,10308970206,exchange,2025-02-11 11:36:35,9660679375,798.998,-747.411,-747.411,0.0,0.0,0.0,0.0,145.989,-94.4,-799.0,100015377050,2025-03-31 15:59:51.184547
8287634509,10287605669,return_refund,2025-02-03 15:04:18,9653663939,949.001,-870.004,-870.004,0.0,173.396,-94.4,-949.0,0.0,0.0,0.0,100012776983,2025-03-31 15:59:51.184547
8287880335,10287851500,exchange,2025-01-22 13:55:36,9653896042,799.008,-712.011,-712.011,0.0,0.0,0.0,0.0,145.989,-59.0,-799.0,100010136850,2025-03-31 15:59:51.184547
8312915560,10312886957,return_refund,2025-02-14 09:24:08,9661885921,599.004,-601.655,-601.655,0.0,109.445,-112.1,-599.0,0.0,0.0,0.0,100015531792,2025-03-31 15:59:51.184547
8306984060,10306955386,return_refund,2025-02-11 07:53:30,9659916936,998.992,-875.469,-875.469,0.0,182.531,-59.0,-999.0,0.0,0.0,0.0,100014910932,2025-03-31 15:59:51.184547
8316875367,10316846806,exchange,2025-02-12 20:54:53,9663146724,799.008,-711.995,-711.995,0.0,145.985,-59.0,-798.98,0.0,0.0,0.0,100015688950,2025-03-31 15:59:51.184547
