order_release_id,order_line_id,return_type,return_date,packet_id,customer_paid_amount,upload_timestamp
8298459859,10298431150,nan,2025-03-31 18:29:37.762320,9657159400,599.004,2025-03-31 18:29:37.761516
8298440857,10298412149,nan,2025-03-31 18:29:37.762249,9657155119,599.004,2025-03-31 18:29:37.761516
8291473799,10291445013,nan,2025-03-31 18:29:37.762254,9654983129,899.01,2025-03-31 18:29:37.761516
8315020927,10314992342,nan,2025-03-31 18:29:37.762253,9662457872,798.998,2025-03-31 18:29:37.761516
8302106030,10302077336,nan,2025-03-31 18:29:37.762253,9658339701,798.998,2025-03-31 18:29:37.761516
8317466757,10317438206,nan,2025-03-31 18:29:37.762252,9663281344,798.998,2025-03-31 18:29:37.761516
8316317663,10316289100,nan,2025-03-31 18:29:37.762251,9662968594,798.998,2025-03-31 18:29:37.761516
8312717283,10312688678,nan,2025-03-31 18:29:37.762251,9661710963,599.004,2025-03-31 18:29:37.761516
8305989279,10305960598,nan,2025-03-31 18:29:37.762250,9659593915,798.998,2025-03-31 18:29:37.761516
8301562025,10301533331,nan,2025-03-31 18:29:37.762249,9658201197,799.008,2025-03-31 18:29:37.761516
8317551840,10317523289,nan,2025-03-31 18:29:37.762268,9663375909,649.006,2025-03-31 18:29:37.761516
8292200202,10292171428,nan,2025-03-31 18:29:37.762248,9655138363,798.998,2025-03-31 18:29:37.761516
8289675782,10289646978,nan,2025-03-31 18:29:37.762247,9654315589,949.001,2025-03-31 18:29:37.761516
8319598789,10319570248,nan,2025-03-31 18:29:37.762246,9663958615,599.004,2025-03-31 18:29:37.761516
8290644761,10290615962,nan,2025-03-31 18:29:37.762246,9654627698,599.004,2025-03-31 18:29:37.761516
8302960748,10302932055,nan,2025-03-31 18:29:37.762245,9658729722,649.005,2025-03-31 18:29:37.761516
8320226527,10320197999,nan,2025-03-31 18:29:37.762244,9664125409,948.99,2025-03-31 18:29:37.761516
8319672114,10319643574,nan,2025-03-31 18:29:37.762244,9664002913,798.998,2025-03-31 18:29:37.761516
8293624584,10293595829,nan,2025-03-31 18:29:37.762255,9655685779,698.996,2025-03-31 18:29:37.761516
8320760222,10320731715,nan,2025-03-31 18:29:37.762255,9664340413,798.998,2025-03-31 18:29:37.761516
8315227217,10315198638,nan,2025-03-31 18:29:37.762256,9662526497,998.992,2025-03-31 18:29:37.761516
8312052115,10312023504,nan,2025-03-31 18:29:37.762257,9661559943,949.001,2025-03-31 18:29:37.761516
8288841250,10288812433,nan,2025-03-31 18:29:37.762267,9654104975,798.998,2025-03-31 18:29:37.761516
8312915560,10312886957,nan,2025-03-31 18:29:37.762266,9661885921,599.004,2025-03-31 18:29:37.761516
8312841510,10312812907,nan,2025-03-31 18:29:37.762266,9661687531,699.006,2025-03-31 18:29:37.761516
8303519656,10303490966,nan,2025-03-31 18:29:37.762265,9658758895,949.001,2025-03-31 18:29:37.761516
8316121663,10316093097,nan,2025-03-31 18:29:37.762264,9662807865,798.998,2025-03-31 18:29:37.761516
8314486184,10314457588,nan,2025-03-31 18:29:37.762264,9662460446,899.0,2025-03-31 18:29:37.761516
8287877657,10287848822,nan,2025-03-31 18:29:37.762263,9653771858,999.002,2025-03-31 18:29:37.761516
8320277423,10320248901,nan,2025-03-31 18:29:37.762262,9664201021,999.002,2025-03-31 18:29:37.761516
8304313121,10304284435,nan,2025-03-31 18:29:37.762262,9659152582,649.005,2025-03-31 18:29:37.761516
8313418282,10313389683,nan,2025-03-31 18:29:37.762261,9662122970,798.998,2025-03-31 18:29:37.761516
8301156038,10301127343,nan,2025-03-31 18:29:37.762260,9658277576,649.005,2025-03-31 18:29:37.761516
8312431765,10312403157,nan,2025-03-31 18:29:37.762260,9661607386,599.004,2025-03-31 18:29:37.761516
8311390037,10311361419,nan,2025-03-31 18:29:37.762259,9661780736,798.998,2025-03-31 18:29:37.761516
8315637877,10315609305,nan,2025-03-31 18:29:37.762258,9662688177,798.998,2025-03-31 18:29:37.761516
8314870684,10314842091,nan,2025-03-31 18:29:37.762257,9662372999,948.99,2025-03-31 18:29:37.761516
8317335895,10317307344,nan,2025-03-31 18:29:37.762243,9663176187,699.006,2025-03-31 18:29:37.761516
8301542467,10301513773,nan,2025-03-31 18:29:37.762242,9658171359,798.998,2025-03-31 18:29:37.761516
8297234189,10297205473,nan,2025-03-31 18:29:37.762242,9656748271,799.008,2025-03-31 18:29:37.761516
8319765024,10319736485,nan,2025-03-31 18:29:37.762228,9664082315,599.004,2025-03-31 18:29:37.761516
8294529599,10294500852,nan,2025-03-31 18:29:37.762226,9655939185,599.004,2025-03-31 18:29:37.761516
8293589338,10293560583,nan,2025-03-31 18:29:37.762225,9655597267,798.998,2025-03-31 18:29:37.761516
8300099016,10300070319,nan,2025-03-31 18:29:37.762225,9657632029,798.998,2025-03-31 18:29:37.761516
8316799246,10316770685,nan,2025-03-31 18:29:37.762224,9663051794,599.004,2025-03-31 18:29:37.761516
8319298046,10319269504,nan,2025-03-31 18:29:37.762223,9663828839,849.01,2025-03-31 18:29:37.761516
