"order_release_id","order_line_id","return_type","return_date","packet_id","customer_paid_amount","upload_timestamp"
"8298459859","10298431150","","2025-03-31 18:41:27.282652","9657159400","599.004","2025-03-31 18:41:27.281970"
"8298440857","10298412149","","2025-03-31 18:41:27.282576","9657155119","599.004","2025-03-31 18:41:27.281970"
"8291473799","10291445013","","2025-03-31 18:41:27.282582","9654983129","899.01","2025-03-31 18:41:27.281970"
"8315020927","10314992342","","2025-03-31 18:41:27.282581","9662457872","798.998","2025-03-31 18:41:27.281970"
"8302106030","10302077336","","2025-03-31 18:41:27.282580","9658339701","798.998","2025-03-31 18:41:27.281970"
"8317466757","10317438206","","2025-03-31 18:41:27.282580","9663281344","798.998","2025-03-31 18:41:27.281970"
"8316317663","10316289100","","2025-03-31 18:41:27.282579","9662968594","798.998","2025-03-31 18:41:27.281970"
"8312717283","10312688678","","2025-03-31 18:41:27.282578","9661710963","599.004","2025-03-31 18:41:27.281970"
"8305989279","10305960598","","2025-03-31 18:41:27.282577","9659593915","798.998","2025-03-31 18:41:27.281970"
"8301562025","10301533331","","2025-03-31 18:41:27.282575","9658201197","799.008","2025-03-31 18:41:27.281970"
"8317551840","10317523289","","2025-03-31 18:41:27.282597","9663375909","649.006","2025-03-31 18:41:27.281970"
"8292200202","10292171428","","2025-03-31 18:41:27.282575","9655138363","798.998","2025-03-31 18:41:27.281970"
"8289675782","10289646978","","2025-03-31 18:41:27.282574","9654315589","949.001","2025-03-31 18:41:27.281970"
"8319598789","10319570248","","2025-03-31 18:41:27.282573","9663958615","599.004","2025-03-31 18:41:27.281970"
"8290644761","10290615962","","2025-03-31 18:41:27.282573","9654627698","599.004","2025-03-31 18:41:27.281970"
"8302960748","10302932055","","2025-03-31 18:41:27.282572","9658729722","649.005","2025-03-31 18:41:27.281970"
"8320226527","10320197999","","2025-03-31 18:41:27.282571","9664125409","948.99","2025-03-31 18:41:27.281970"
"8319672114","10319643574","","2025-03-31 18:41:27.282570","9664002913","798.998","2025-03-31 18:41:27.281970"
"8293624584","10293595829","","2025-03-31 18:41:27.282582","9655685779","698.996","2025-03-31 18:41:27.281970"
"8320760222","10320731715","","2025-03-31 18:41:27.282583","9664340413","798.998","2025-03-31 18:41:27.281970"
"8315227217","10315198638","","2025-03-31 18:41:27.282584","9662526497","998.992","2025-03-31 18:41:27.281970"
"8312052115","10312023504","","2025-03-31 18:41:27.282585","9661559943","949.001","2025-03-31 18:41:27.281970"
"8288841250","10288812433","","2025-03-31 18:41:27.282595","9654104975","798.998","2025-03-31 18:41:27.281970"
"8312915560","10312886957","","2025-03-31 18:41:27.282595","9661885921","599.004","2025-03-31 18:41:27.281970"
"8312841510","10312812907","","2025-03-31 18:41:27.282594","9661687531","699.006","2025-03-31 18:41:27.281970"
"8303519656","10303490966","","2025-03-31 18:41:27.282593","9658758895","949.001","2025-03-31 18:41:27.281970"
"8316121663","10316093097","","2025-03-31 18:41:27.282592","9662807865","798.998","2025-03-31 18:41:27.281970"
"8314486184","10314457588","","2025-03-31 18:41:27.282592","9662460446","899.0","2025-03-31 18:41:27.281970"
"8287877657","10287848822","","2025-03-31 18:41:27.282591","9653771858","999.002","2025-03-31 18:41:27.281970"
"8320277423","10320248901","","2025-03-31 18:41:27.282590","9664201021","999.002","2025-03-31 18:41:27.281970"
"8304313121","10304284435","","2025-03-31 18:41:27.282590","9659152582","649.005","2025-03-31 18:41:27.281970"
"8313418282","10313389683","","2025-03-31 18:41:27.282589","9662122970","798.998","2025-03-31 18:41:27.281970"
"8301156038","10301127343","","2025-03-31 18:41:27.282588","9658277576","649.005","2025-03-31 18:41:27.281970"
"8312431765","10312403157","","2025-03-31 18:41:27.282587","9661607386","599.004","2025-03-31 18:41:27.281970"
"8311390037","10311361419","","2025-03-31 18:41:27.282587","9661780736","798.998","2025-03-31 18:41:27.281970"
"8315637877","10315609305","","2025-03-31 18:41:27.282586","9662688177","798.998","2025-03-31 18:41:27.281970"
"8314870684","10314842091","","2025-03-31 18:41:27.282585","9662372999","948.99","2025-03-31 18:41:27.281970"
"8317335895","10317307344","","2025-03-31 18:41:27.282570","9663176187","699.006","2025-03-31 18:41:27.281970"
"8301542467","10301513773","","2025-03-31 18:41:27.282569","9658171359","798.998","2025-03-31 18:41:27.281970"
"8297234189","10297205473","","2025-03-31 18:41:27.282568","9656748271","799.008","2025-03-31 18:41:27.281970"
"8319765024","10319736485","","2025-03-31 18:41:27.282555","9664082315","599.004","2025-03-31 18:41:27.281970"
"8294529599","10294500852","","2025-03-31 18:41:27.282553","9655939185","599.004","2025-03-31 18:41:27.281970"
"8293589338","10293560583","","2025-03-31 18:41:27.282552","9655597267","798.998","2025-03-31 18:41:27.281970"
"8300099016","10300070319","","2025-03-31 18:41:27.282552","9657632029","798.998","2025-03-31 18:41:27.281970"
"8316799246","10316770685","","2025-03-31 18:41:27.282551","9663051794","599.004","2025-03-31 18:41:27.281970"
"8319298046","10319269504","","2025-03-31 18:41:27.282550","9663828839","849.01","2025-03-31 18:41:27.281970"
"8304285337","10304256653","","2025-03-31 18:41:27.282549","9658943279","949.001","2025-03-31 18:41:27.281970"
"8293547946","10293519191","","2025-03-31 18:41:27.282549","9655815644","799.008","2025-03-31 18:41:27.281970"
"8323453789","10323425314","","2025-03-31 18:41:27.282548","9665119662","799.008","2025-03-31 18:41:27.281970"
"8317840061","10317811511","","2025-03-31 18:41:27.282547","9663380223","798.998","2025-03-31 18:41:27.281970"
"8309209260","10309180619","","2025-03-31 18:41:27.282546","9660611395","599.004","2025-03-31 18:41:27.281970"
