order_release_id,return_settlement_amount,source_file
8315043225,-712.011,02-2025
8294429088,-572.155,02-2025
8289972784,-870.004,02-2025
8296983436,-601.654,02-2025
8316230979,-572.155,02-2025
8306603876,-834.604,02-2025
8297206859,-870.004,02-2025
8318627130,-548.555,02-2025
8289041892,-723.811,02-2025
8296875622,-747.411,02-2025
8307935180,-846.404,02-2025
8290046704,-572.155,02-2025
8318346097,-723.811,02-2025
8282905745,-928.569,02-2025
8317248166,-723.811,02-2025
8306334865,-747.411,02-2025
8311590632,-665.682,02-2025
8298072432,-601.655,02-2025
8305742399,-870.004,02-2025
8309789745,-560.355,02-2025
8319386835,-834.604,02-2025
8316236771,-712.011,02-2025
8291420051,-846.404,02-2025
8297860837,-723.811,02-2025
8305767247,-560.355,02-2025
8302713722,-834.604,02-2025
8293685515,-747.411,02-2025
8309395053,-642.082,02-2025
8304388307,-583.955,02-2025
8310857353,-747.411,02-2025
8311304920,-572.154,02-2025
8312717283,-560.355,02-2025
8317155595,-723.811,02-2025
8303485971,-887.269,02-2025
8304289032,-712.011,02-2025
8281544670,-548.555,02-2025
8287348612,-870.004,02-2025
8290869911,-583.954,02-2025
8320692481,-601.655,02-2025
8291235807,-723.811,02-2025
8287343000,-583.955,02-2025
8290974031,-712.011,02-2025
8303239169,-601.655,02-2025
8320854146,-712.011,02-2025
8285539157,-747.411,02-2025
8293586541,-583.955,02-2025
8313777799,-601.654,02-2025
8293624579,-665.684,02-2025
8309315139,-630.283,02-2025
8287364592,-870.004,02-2025
8317777640,-805.54,02-2025
8300913270,-723.811,02-2025
8316746755,-747.411,02-2025
8309789746,-572.155,02-2025
8289682743,-671.147,02-2025
8297303688,-601.655,02-2025
8308717640,-887.269,02-2025
8320103417,-723.811,02-2025
8299040150,-723.811,02-2025
8301066667,-519.926,02-2025
8308239724,-572.155,02-2025
8295318493,-805.975,02-2025
8307883142,-747.411,02-2025
8320703435,-560.355,02-2025
8303159128,-706.546,02-2025
8301250638,-846.84,02-2025
8290381333,-887.269,02-2025
8291328700,-846.404,02-2025
8306435254,-870.004,02-2025
8313698277,-747.411,02-2025
8293405041,-747.411,02-2025
8313353224,-887.269,02-2025
8296902296,-870.004,02-2025
8319816949,-817.34,02-2025
8303319692,-870.004,02-2025
8293047890,-846.404,02-2025
8320884086,-712.011,02-2025
8295874492,-560.355,02-2025
8287089975,-560.354,02-2025
8309886486,-560.355,02-2025
8294047404,-846.404,02-2025
8302196752,-723.811,02-2025
8286791939,-899.069,02-2025
8299161116,-747.413,02-2025
8318974777,-490.426,02-2025
8313088780,-747.411,02-2025
8296607874,-747.411,02-2025
8289963380,-665.682,02-2025
8293443437,-601.655,02-2025
8295089993,-642.082,02-2025
8309286398,-601.655,02-2025
8296741055,-706.547,02-2025
8286528111,-747.411,02-2025
8296332150,-764.675,02-2025
8285402149,-601.655,02-2025
8306234717,-601.653,02-2025
8302173214,-834.604,02-2025
8284821582,-642.082,02-2025
8298666364,-870.005,02-2025
8313186297,-712.011,02-2025
8288077492,-682.947,02-2025
8318469774,-601.653,02-2025
8297789907,-624.818,02-2025
8298686369,-642.082,02-2025
8319989118,-870.004,02-2025
8304343860,-601.655,02-2025
8287451027,-910.869,02-2025
8285066139,-870.004,02-2025
8310718520,-846.404,02-2025
8293533884,-601.655,02-2025
8300062578,-601.655,02-2025
8300820177,-747.411,02-2025
8286274785,-723.811,02-2025
8311104415,-601.654,02-2025
8298537745,-624.819,02-2025
8296149240,-601.655,02-2025
8299670073,-747.411,02-2025
8302128946,-846.404,02-2025
8301509043,-630.282,02-2025
8297539952,-712.011,02-2025
8288267177,-723.811,02-2025
8309318869,-870.004,02-2025
8296024121,-601.655,02-2025
8317899302,-834.604,02-2025
8314882475,-747.411,02-2025
8313507283,-834.605,02-2025
8317198353,-601.219,02-2025
8293844426,-560.355,02-2025
8295234286,-712.011,02-2025
8315747133,-624.819,02-2025
8298021944,-560.355,02-2025
8304494660,-875.469,02-2025
8287853165,-572.155,02-2025
8297359383,-712.011,02-2025
8314801266,-834.603,02-2025
8299863263,-572.153,02-2025
8307734165,-747.411,02-2025
8322254076,-723.811,02-2025
8304973395,-723.811,02-2025
8297912024,-601.655,02-2025
8301739229,-747.411,02-2025
8314478971,-560.355,02-2025
8317248159,-723.811,02-2025
8295293552,-723.811,02-2025
8321233877,-870.004,02-2025
8309530424,-583.955,02-2025
8310718521,-846.404,02-2025
8298937813,-572.155,02-2025
8323162995,-560.355,02-2025
8297800669,-723.811,02-2025
8294523652,-712.011,02-2025
8287589831,-846.404,02-2025
8281720809,-747.411,02-2025
8296712442,-712.011,02-2025
8300085240,-630.282,02-2025
8302929739,-723.811,02-2025
8293802944,-642.082,02-2025
8300700781,-747.411,02-2025
8300700783,-747.411,02-2025
8304756353,-747.411,02-2025
8294457806,-624.819,02-2025
8321284741,-712.011,02-2025
8302898230,-712.011,02-2025
8317979096,-910.869,02-2025
8306370104,-747.411,02-2025
8295755560,-747.411,02-2025
8309522416,-817.34,02-2025
8303775030,-601.655,02-2025
8294254891,-805.975,02-2025
8298549756,-583.955,02-2025
8299923153,-560.337,02-2025
8305767246,-560.355,02-2025
8317045648,-723.811,02-2025
8295020874,-747.411,02-2025
8285560212,-665.682,02-2025
8302246680,-910.869,02-2025
8309158419,-572.155,02-2025
8316570952,-548.555,02-2025
8313334308,-723.811,02-2025
8317910592,-665.682,02-2025
8319598789,-601.655,02-2025
8306226897,-624.819,02-2025
8286151687,-846.404,02-2025
8285560211,-665.682,02-2025
8298933430,-601.655,02-2025
8298648542,-870.004,02-2025
8301509048,-747.411,02-2025
8297411594,-805.975,02-2025
8297284351,-747.411,02-2025
8306834461,-747.411,02-2025
8317331314,-747.411,02-2025
8314882477,-747.411,02-2025
8298227361,-723.811,02-2025
8293048493,-846.404,02-2025
8294279942,-870.004,02-2025
8317248164,-723.811,02-2025
8310414877,-723.811,02-2025
8290746086,-712.011,02-2025
8285253399,-601.655,02-2025
8290094114,-747.411,02-2025
8314882474,-747.411,02-2025
8296875619,-747.411,02-2025
8318940780,-747.411,02-2025
8297367874,-572.155,02-2025
8296550258,-870.004,02-2025
8313993087,-723.811,02-2025
8301302187,-723.812,02-2025
8186450680,-523.576,02-2025
8292646703,-601.655,02-2025
8303593424,-747.411,02-2025
8314047790,-642.082,02-2025
8294529599,-583.955,02-2025
8290388677,-870.004,02-2025
8316171337,-834.604,02-2025
8297571906,-601.655,02-2025
8296358263,-870.004,02-2025
8294306657,-572.155,02-2025
8311340028,-601.654,02-2025
8296543243,-910.869,02-2025
8294553664,-601.655,02-2025
8286434848,-723.811,02-2025
8311910711,-747.411,02-2025
8289636316,-723.811,02-2025
8301924840,-712.011,02-2025
8291527931,-57.94054,02-2025
8296753382,-601.655,02-2025
8314659323,-572.154,02-2025
8309853102,-712.011,02-2025
8296255565,-870.004,02-2025
8309326968,-870.004,02-2025
8303266552,-601.218,02-2025
8322198903,-601.655,02-2025
8314950898,-642.082,02-2025
8288792975,-624.819,02-2025
8307186886,-548.555,02-2025
8323247494,-834.604,02-2025
8297577096,-478.626,02-2025
8288473553,-560.355,02-2025
8293768016,-560.355,02-2025
8318669523,-747.411,02-2025
8307484628,-601.655,02-2025
8293624584,-665.684,02-2025
8294719539,-870.004,02-2025
8298283643,-747.411,02-2025
8306636704,-910.869,02-2025
8296902299,-747.411,02-2025
8300062583,-601.655,02-2025
8307858077,-846.84,02-2025
8303929103,-601.219,02-2025
8288131451,-910.869,02-2025
8313936807,-723.811,02-2025
8316171339,-793.74,02-2025
8309303440,-747.411,02-2025
8303000855,-846.404,02-2025
8317045644,-723.811,02-2025
8285790101,-747.411,02-2025
8300062580,-601.655,02-2025
8297633929,-846.404,02-2025
8297351769,-747.411,02-2025
8304390411,-572.155,02-2025
8298188408,-793.74,02-2025
8294848580,-712.011,02-2025
8320849085,-875.469,02-2025
8318643179,-747.411,02-2025
8287858413,-747.411,02-2025
8315106147,-846.404,02-2025
8304862625,-665.682,02-2025
8293446319,-846.404,02-2025
8291219133,-747.411,02-2025
8283419241,-642.082,02-2025
8308469960,-560.355,02-2025
8306229022,-601.653,02-2025
8307487380,-928.569,02-2025
8284990205,-870.004,02-2025
8310702065,-846.404,02-2025
8302247284,-747.411,02-2025
8306452223,-630.282,02-2025
8315769251,-723.811,02-2025
8298666365,-870.005,02-2025
8290632690,-870.004,02-2025
8317352928,-834.604,02-2025
8302095621,-834.604,02-2025
8283703026,-723.811,02-2025
8309594173,-601.219,02-2025
8309853103,-712.011,02-2025
8305814830,-624.819,02-2025
8316167947,-630.282,02-2025
8297487270,-519.926,02-2025
8289270691,-712.011,02-2025
8307372697,-601.655,02-2025
8317045647,-723.811,02-2025
8317531861,-572.153,02-2025
8282721733,-910.869,02-2025
8310477674,-723.811,02-2025
8307976661,-572.155,02-2025
8291586684,-723.811,02-2025
8323286898,-805.54,02-2025
8296381316,-601.654,02-2025
8297303687,-601.655,02-2025
8294334136,-572.155,02-2025
8309307093,-630.282,02-2025
8301302186,-723.812,02-2025
8285631846,-747.411,02-2025
8318940778,-747.411,02-2025
8294033954,-601.655,02-2025
8290695219,-747.411,02-2025
8306128108,-723.811,02-2025
8286434844,-689.384,02-2025
8318543985,-834.604,02-2025
8316571334,-747.411,02-2025
8312914145,-665.682,02-2025
8314328583,-601.655,02-2025
8297892269,-560.355,02-2025
8299506261,-630.282,02-2025
8300486693,-642.082,02-2025
8310030589,-723.811,02-2025
8306795531,-723.811,02-2025
8306334323,-776.475,02-2025
8287983630,-642.083,02-2025
8317034646,-624.818,02-2025
8297975601,-805.54,02-2025
8309934176,-601.655,02-2025
8320692480,-560.355,02-2025
8308807451,-747.411,02-2025
8314238243,-846.396,02-2025
8310914850,-712.011,02-2025
8287560500,-630.282,02-2025
8310211819,-712.011,02-2025
8319298046,-764.676,02-2025
8293981145,-747.411,02-2025
8310363622,-747.411,02-2025
8290652007,-548.555,02-2025
8319132958,-548.555,02-2025
8307455798,-589.419,02-2025
8314034572,-630.282,02-2025
8284820373,-665.682,02-2025
8288841250,-747.411,02-2025
8281427186,-665.682,02-2025
8298946036,-747.411,02-2025
8318601954,-723.811,02-2025
8314870684,-846.405,02-2025
